夜兰_天空之翼_EMPTY_EMPTY_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,EMPTY--piece4_failure
夜兰_天空之翼_EMPTY_流浪大地的乐团_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,EMPTY--piece2_failure
夜兰_天空之翼_流浪大地的乐团_流浪大地的乐团_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,流浪大地的乐团--piece4_failure
夜兰_天空之翼_流浪大地的乐团_角斗士的终幕礼_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,流浪大地的乐团--piece2_failure
夜兰_天空之翼_角斗士的终幕礼_角斗士的终幕礼_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,角斗士的终幕礼--piece4_failure
夜兰_天空之翼_角斗士的终幕礼_冰风迷途的勇士_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,角斗士的终幕礼--piece2_failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_生命值_胡桃_枫原万叶_冰_test_翠绿之影,success!
E_前台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,夜兰_extra_special_伤害加成_0.250000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_生命值_0.466000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
Q_后台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_生命值_0.466000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_攻击力_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_防御力_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_元素精通_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_暴击率_胡桃_枫原万叶_冰_test_翠绿之影,success!
E_前台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,夜兰_extra_special_伤害加成_0.250000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_暴击率_0.311000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
Q_后台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_暴击率_0.311000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_暴击伤害_胡桃_枫原万叶_冰_test_翠绿之影,success!
E_前台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,夜兰_extra_special_伤害加成_0.250000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_暴击伤害_0.622000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
Q_后台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_生命值_0.466000,main5_暴击伤害_0.622000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_生命值_治疗加成_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_攻击力_攻击力_胡桃_枫原万叶_冰_test_翠绿之影,main4--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_防御力_防御力_胡桃_枫原万叶_冰_test_翠绿之影,main4--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_元素精通_元素精通_胡桃_枫原万叶_冰_test_翠绿之影,main4--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_生命值_胡桃_枫原万叶_冰_test_翠绿之影,success!
E_前台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,夜兰_extra_special_伤害加成_0.250000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_伤害加成_0.466000,main5_生命值_0.466000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
Q_后台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_伤害加成_0.466000,main5_生命值_0.466000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_攻击力_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_防御力_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_元素精通_胡桃_枫原万叶_冰_test_翠绿之影,main5--failure
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_暴击率_胡桃_枫原万叶_冰_test_翠绿之影,success!
E_前台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,夜兰_extra_special_伤害加成_0.250000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_伤害加成_0.466000,main5_暴击率_0.311000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
Q_后台_不锁面板_NONE,夜兰_break_暴击率_0.192000,夜兰_talent1_生命值_0.180000,天空之翼_vice_暴击率_0.221000,天空之翼_extra_暴击伤害_0.200000,冰风迷途的勇士_extra_special_暴击率_0.200000,main1_生命值_0.330796,main2_攻击力_0.338780,main3_生命值_0.466000,main4_伤害加成_0.466000,main5_暴击率_0.311000,team_翠绿之影_抗性削弱_0.400000,team_枫原万叶_伤害加成_0.360000,
夜兰_天空之翼_冰风迷途的勇士_冰风迷途的勇士_生命值_伤害加成_暴击伤害_胡桃_枫原万叶_冰_test_翠绿之影,success!
